timestamp,src_mac,dst_mac,src_ip,src_port,dst_ip,dst_port,payload_sum,payload_len
Thu Mar 20 23:55:31 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,158366.0,1354.0
Thu Mar 20 23:55:31 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.26,443.0,192.168.135.162,54178.0,4371.0,60.0
Thu Mar 20 23:55:31 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.26,443.0,192.168.135.162,54178.0,160426.0,1334.0
Thu Mar 20 23:55:31 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.26,443.0,192.168.135.162,54178.0,165781.0,1334.0
Thu Mar 20 23:55:31 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.26,443.0,192.168.135.162,54178.0,122521.0,989.0
Thu Mar 20 23:55:31 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,5646.0,60.0
Thu Mar 20 23:55:31 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,12467.0,118.0
Thu Mar 20 23:55:31 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,154932.0,1218.0
Thu Mar 20 23:55:32 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.26,443.0,192.168.135.162,54178.0,0.0,0.0
Thu Mar 20 23:55:32 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.26,443.0,192.168.135.162,54178.0,4881.0,60.0
Thu Mar 20 23:55:32 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.26,443.0,192.168.135.162,54178.0,15512.0,133.0
Thu Mar 20 23:55:32 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.26,443.0,192.168.135.162,54178.0,13982.0,133.0
Thu Mar 20 23:55:32 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.26,443.0,192.168.135.162,54178.0,76230.0,615.0
Thu Mar 20 23:55:32 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,5901.0,60.0
Thu Mar 20 23:55:32 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,102271.0,839.0
Thu Mar 20 23:55:32 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.26,443.0,192.168.135.162,54178.0,12968.0,127.0
Thu Mar 20 23:55:32 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,5646.0,60.0
Thu Mar 20 23:55:34 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54145.0,104.26.6.95,443.0,12347.0,112.0
Thu Mar 20 23:55:34 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,4755.0,60.0
Thu Mar 20 23:55:34 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,62186.0,508.0
Thu Mar 20 23:55:34 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,20443.0,176.0
Thu Mar 20 23:55:34 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,7784.0,85.0
Thu Mar 20 23:55:34 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54145.0,104.26.6.95,443.0,5520.0,60.0
Thu Mar 20 23:55:34 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54145.0,104.26.6.95,443.0,8800.0,89.0
Thu Mar 20 23:55:34 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,4755.0,60.0
Thu Mar 20 23:55:44 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54145.0,104.26.6.95,443.0,12602.0,112.0
Thu Mar 20 23:55:44 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,4500.0,60.0
Thu Mar 20 23:55:44 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,80387.0,667.0
Thu Mar 20 23:55:44 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,20443.0,176.0
Thu Mar 20 23:55:44 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,8039.0,85.0
Thu Mar 20 23:55:44 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54145.0,104.26.6.95,443.0,5265.0,60.0
Thu Mar 20 23:55:44 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54145.0,104.26.6.95,443.0,9310.0,89.0
Thu Mar 20 23:55:44 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,4755.0,60.0
Thu Mar 20 23:55:49 2025,6a:61:ab:9d:ff:79,ff:ff:ff:ff:ff:ff,255.121.192.168,0.0,135.90.0.0,0.0,4620.0,60.0
Thu Mar 20 23:55:49 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,86.112.192.168,0.0,135.162.106.97,0.0,4439.0,60.0
Thu Mar 20 23:55:54 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54145.0,104.26.6.95,443.0,12602.0,112.0
Thu Mar 20 23:55:54 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.26.6.95,443.0,192.168.135.162,54145.0,4755.0,60.0
Thu Mar 20 23:55:54 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,104.18.26.48,443.0,192.168.135.162,54177.0,7313.0,81.0
