timestamp,src_mac,dst_mac,src_ip,src_port,dst_ip,dst_port,payload_sum,payload_len,Anomaly,Anomaly_Score
Thu Mar 20 23:55:31 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.25,443.0,192.168.135.162,54129.0,5137.0,60.0,False,0.003921572651875332
Thu Mar 20 23:55:31 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.26,443.0,192.168.135.162,54178.0,0.0,0.0,False,0.010079255715268024
Thu Mar 20 23:55:31 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,5391.0,60.0,False,0.004065410918667584
Thu Mar 20 23:55:31 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,150206.0,1354.0,True,0.019934754616975362
Thu Mar 20 23:55:31 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,65811.0,579.0,False,0.008908936462078793
Thu Mar 20 23:55:31 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,158366.0,1354.0,True,0.013650094859745226
Thu Mar 20 23:55:31 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.26,443.0,192.168.135.162,54178.0,4371.0,60.0,False,0.00430118084361098
Thu Mar 20 23:55:31 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.26,443.0,192.168.135.162,54178.0,160426.0,1334.0,False,0.010498770182046114
Thu Mar 20 23:55:31 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.26,443.0,192.168.135.162,54178.0,165781.0,1334.0,False,0.006424262135437068
Thu Mar 20 23:55:31 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.26,443.0,192.168.135.162,54178.0,122521.0,989.0,False,0.008044150082521724
Thu Mar 20 23:55:31 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,5646.0,60.0,False,0.0038654214199797866
Thu Mar 20 23:55:31 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,12467.0,118.0,False,0.006446835111043241
Thu Mar 20 23:55:31 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,154932.0,1218.0,False,0.011351421648796864
Thu Mar 20 23:55:32 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.26,443.0,192.168.135.162,54178.0,0.0,0.0,False,0.010079255715268024
Thu Mar 20 23:55:32 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.26,443.0,192.168.135.162,54178.0,4881.0,60.0,False,0.003772328976655045
Thu Mar 20 23:55:32 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.26,443.0,192.168.135.162,54178.0,15512.0,133.0,False,0.008254696422886487
Thu Mar 20 23:55:32 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.26,443.0,192.168.135.162,54178.0,13982.0,133.0,False,0.008620223104374136
Thu Mar 20 23:55:32 2025,6a:61:ab:9d:ff:79,a0:59:50:93:56:70,140.82.112.26,443.0,192.168.135.162,54178.0,76230.0,615.0,False,0.00814846370038647
Thu Mar 20 23:55:32 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,5901.0,60.0,False,0.0036647215768260757
Thu Mar 20 23:55:32 2025,a0:59:50:93:56:70,6a:61:ab:9d:ff:79,192.168.135.162,54178.0,140.82.112.26,443.0,102271.0,839.0,False,0.007232380497596321
